date,name,description,type
2025-01-01,New Year's Day,New Year’s Day is celebrated many countries such as in India on the January 1 in the Gregorian calendar.,Optional holiday
2025-01-02,Last day of Hanukkah,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for eight days between the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.",Observance
2025-01-06,Guru Govind Singh Jayanti,Guru Gobind Singh Jayanti is the Sikh annual celebration that occurs in countries such as India around December or January in the Gregorian calendar.,Optional holiday
2025-01-13,Lohri,Lohri is a observance in India,Observance
2025-01-14,Pongal,"Many southern states in India, particularly Tamil Nadu, celebrate Pongal as a thanksgiving for the good harvest season in mid-January every year.","Hinduism, Optional holiday"
2025-01-14,Makar Sankranti,Makar Sankranti is a restricted holiday in India,"Hinduism, Optional holiday"
2025-01-14,Hazarat Ali's Birthday,Hazarat Ali's Birthday is a restricted holiday in India,Optional holiday
2025-01-26,Republic Day,India's Republic Day marks the anniversary of the adoption of the Indian constitution. It is an annual gazetted holiday in India on January 26.,National holiday
2025-01-29,Lunar New Year,Lunar New year is an annual global celebration in many countries including India.,Observance
2025-02-02,Vasant Panchami,"Vasant Panchami, or India’s spring festival, is a Hindu event that includes special rituals and highlights the start of spring.","Hinduism, Optional holiday"
2025-02-12,Guru Ravidas Jayanti,Guru Ravidas Jayanti is a restricted holiday in India,Optional holiday
2025-02-14,Valentine's Day,"Valentine’s Day is celebrated in many places worldwide, including in India, on February 14 each year.",Observance
2025-02-19,Shivaji Jayanti,Shivaji Jayanti is a restricted holiday in India,Optional holiday
2025-02-23,Maharishi Dayanand Saraswati Jayanti,Maharishi Dayanand Saraswati Jayanti is a restricted holiday in India,Optional holiday
2025-02-26,Maha Shivaratri/Shivaratri,"Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.","National holiday, Hinduism"
2025-03-02,Ramadan Start,"Ramadan is a period of prayer, reflection and fasting for many Muslims worldwide. It is the ninth month in the Islamic calendar.",Observance
